article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,image_path,price,popularity_score
0748365001,0748365,2pk Dad and Kid Leo,302,Socks,Socks & Tights,1010001,All over pattern,22,Yellow,7,Medium,8,Yellow,5999,Socks Wall,F,Menswear,3,Menswear,26,Men Underwear,1021,Socks and Tights,"Set of two pairs of socks in a soft, fine-knit cotton blend with elasticated tops. One pair in an adult size (7.5-11.5) and one pair in a child size.",images/074/0748365001.jpg,0.00825000,0.17723968
0580684015,0580684,Svenne sneaker,94,Sneakers,Shoes,1010016,Solid,71,Light Blue,1,Dusty Light,2,Blue,3828,Sneakers,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Slip-on trainers in cotton twill with elastic gores in the sides and a loop at the back. Cotton canvas linings and insoles and thermoplastic rubber (TPR) soles.,images/058/0580684015.jpg,0.01127578,0.62248153
0857301004,0857301,Cool Jones earring,70,Earring,Accessories,1010016,Solid,90,Other Green,5,Bright,19,Green,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Large earrings in metal and plastic with a round disc and rectangular pendants. Length approx. 8.5 cm.,images/085/0857301004.jpg,0.01639054,0.35447936
0755759009,0755759,AMBRA cardigan,245,Cardigan,Garment Upper body,1010010,Melange,71,Light Blue,3,Light,2,Blue,8718,Young Girl Knitwear,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1003,Knitwear,"Cardigan in soft, fine-knit cotton with long sleeves, buttons down the front and ribbing around the neckline, cuffs and hem.",images/075/0755759009.jpg,0.01593856,0.24196981
0581378002,0581378,Leather Da Vinci,67,Belt,Accessories,1010016,Solid,32,Orange,2,Medium Dusty,3,Orange,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Leather belt with a metal buckle. Width 2.5 cm.,images/058/0581378002.jpg,0.01184746,0.21429375
0635440004,0635440,TYRA soft shoes,89,Other shoe,Shoes,1010016,Solid,23,Dark Yellow,2,Medium Dusty,8,Yellow,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,Soft shoes in organic cotton with lacing at the front. Cotton jersey linings and soft soles with anti-slip protectors.,images/063/0635440004.jpg,0.01882885,0.41161163
0723930007,0723930,Metal Ellie Watch,85,Watch,Accessories,1010016,Solid,05,Gold,5,Bright,15,Metal,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Metal watch with an adjustable fastening. Diameter of face 3 cm, width of links 1.5 cm, length of bracelet 23 cm.",images/072/0723930007.jpg,0.03203390,0.52537262
0854915002,0854915,4p fancy claw,78,Other accessories,Accessories,1010010,Melange,20,Other Yellow,5,Bright,8,Yellow,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Hair claws in metal and plastic. Size 3.5 cm.,images/085/0854915002.jpg,0.01647373,0.48393962
0867968002,0867968,S. Skinny LW Epic,-1,Unknown,Unknown,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, low-rise jeans in washed, stretch denim with a zip fly and button and skinny legs. The cotton content of the jeans is partly recycled.",images/086/0867968002.jpg,0.03326836,0.35447936
0862592001,0862592,COLLAB Emma Jayne P-cap,69,Cap/peaked,Accessories,1010001,All over pattern,81,Light Turquoise,3,Light,7,Turquoise,4312,Kids Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,"EMMA JAYNE x H&M. Cap in a patterned weave with a soft, lightly brushed finish. Small appliqué on the front, a cotton sweatband and an adjustable plastic fastener at the back.",images/086/0862592001.jpg,0.01643220,0.12098490
0812500001,0812500,BB Air Ski Pants,276,Outdoor trousers,Garment Lower body,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,8852,Young Boy Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Padded ski trousers in windproof, water-repellent, breathable functional fabric with closed, waterproof seams at critical points. Zip fly and press-stud, zipped side pockets, a flap back pocket with a press-stud, and reinforced hems with snow flaps. Detachable, adjustable elastic braces. Lined. The trousers have a water-repellent coating without fluorocarbons.",images/081/0812500001.jpg,0.06553390,0.28246557
0794141001,0794141,Hat Samson 1,76,Hat/brim,Accessories,1010026,Other structure,08,Dark Grey,2,Medium Dusty,12,Grey,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Hat in a marled linen and cotton blend with a grosgrain band. Width of brim approx. 3 cm.,images/079/0794141001.jpg,0.01570189,0.39153344
0754291005,0754291,2p fancy claws,72,Hair clip,Accessories,1010010,Melange,93,Dark Green,4,Dark,19,Green,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Plastic hair claws. Height 2.5 cm, width 35 cm.",images/075/0754291005.jpg,0.00795000,0.57309230
0682260003,0682260,CINNA BAKERBOY CAP,69,Cap/peaked,Accessories,1010016,Solid,43,Dark Red,4,Dark,18,Red,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Captain’s cap in woven fabric with knots at the sides and braiding at the front. Lined.,images/068/0682260003.jpg,0.01947031,0.56427758
0606250001,0606250,Copacabana swimsuit MAMA,283,Underwear body,Underwear,1010001,All over pattern,71,Light Blue,3,Light,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with a V-neck, frills at the top, narrow adjustable shoulder straps and concealed elastication under the bust for extra support. Gathers at the sides for best fit.",images/060/0606250001.jpg,0.03049153,0.07633298
0815309001,0815309,Didier basic 3PACK,80,Scarf,Accessories,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,Double-layered triangular scarves in soft organic cotton jersey with an adjustable press-stud fastening at the back of the neck.,images/081/0815309001.jpg,0.01119871,0.37455756
0724720001,0724720,MAD-MAX CONCIOUS,253,Vest top,Garment Upper body,1010016,Solid,42,Red,7,Medium,18,Red,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"V-neck jersey top with narrow, adjustable shoulder straps and hole-patterned trims around the neckline and down the front and back. The polyester content of the top is partly recycled.",images/072/0724720001.jpg,0.01638406,0.75736364
0702410001,0702410,Bowtie Victor Velvet,82,Tie,Accessories,1010016,Solid,09,Black,4,Dark,5,Black,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Pre-tied bow tie in velvet with an adjustable satin strap and fastening at the back. Width 11.5 cm.,images/070/0702410001.jpg,0.01599932,0.43299310
0781180002,0781180,Flora(1),267,Jumpsuit/Playsuit,Garment Full body,1010001,All over pattern,32,Orange,2,Medium Dusty,3,Orange,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Sleeveless playsuit in soft viscose jersey in a double layer at the top. Gentle V-neck, narrow shoulder straps and an elasticated seam and drawstring at the waist. Side pockets and wide legs.",images/078/0781180002.jpg,0.01791998,0.82297327
0700109001,0700109,Dre sunhat,76,Hat/brim,Accessories,1010001,All over pattern,06,Light Grey,1,Dusty Light,12,Grey,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,Reversible sun hat in cotton. One side with an all-over print and appliqué and the other in a solid colour. Ties under the chin. Width of brim 3.5 cm.,images/070/0700109001.jpg,0.01110464,0.34998383
0821513002,0821513,Go light sports bra,253,Vest top,Garment Upper body,1010016,Solid,91,Light Green,1,Dusty Light,19,Green,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in fast-drying functional fabric with narrow, adjustable shoulder straps and lined cups with removable inserts that shape the bust. Narrow, concealed elastication at the top and covered elastication at the hem. Medium support. The polyester content of the bra’s outer fabric and lining is recycled.",images/082/0821513002.jpg,0.02302491,0.69666851
0713997084,0713997,Scarf Scrunchie,78,Other accessories,Accessories,1010001,All over pattern,20,Other Yellow,5,Bright,8,Yellow,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Elasticated scrunchie in woven fabric with a scarf detail.,images/071/0713997084.jpg,0.00754827,0.64479100
0739493006,0739493,Sage Fur Vest,261,Outdoor Waistcoat,Garment Upper body,1010016,Solid,06,Light Grey,2,Medium Dusty,12,Grey,7812,Kids Girl Outdoor,H,Children Sizes 92-140,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,Gilet in supersoft faux fur with a concealed fastening at the top. Lined.,images/073/0739493006.jpg,0.01924153,0.24196981
0335991001,0335991,XMAS Deer aliceband,495,Alice band,Accessories,1010009,Glittering/Metallic,42,Red,7,Medium,18,Red,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Metal Alice band with glittery decorations in the shape of reindeer antlers.,images/033/0335991001.jpg,0.00921687,0.59693753
0844109002,0844109,SC SAVANNA knitted trousers,272,Trousers,Garment Lower body,1010009,Glittering/Metallic,03,Silver,3,Light,15,Metal,2080,Studio Collection,A,Ladieswear,1,Ladieswear,82,Special Collections,1001,Unknown,"STUDIO COLLECTION. Leggings in an airy, fine, rib-knit rayon blend containing shimmering metallic threads. Fitted style with covered elastication at the waist, a chunky zip in one side and legs with pleats and flared hems with slits in the sides.",images/084/0844109002.jpg,0.06978655,0.60672252
0844119001,0844119,SC - LJUNG platform boot,87,Boots,Shoes,1010016,Solid,11,Off White,1,Dusty Light,9,White,2080,Studio Collection,A,Ladieswear,1,Ladieswear,82,Special Collections,1001,Unknown,"STUDIO COLLECTION. High platform boots in leather with square toes, a flatlock seam down the front and a zip in one side. Twill linings, leather insoles and leather soles. Platform approx. 3.5 cm. Heel approx. 8 cm.",images/084/0844119001.jpg,0.21232158,0.40058992
0796735006,0796735,Cleo shirt dress,258,Blouse,Garment Upper body,1010001,All over pattern,19,Greenish Khaki,1,Dusty Light,20,Khaki green,8713,Young Girl Dresses,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1014,Dresses/Skirts girls,"Dress in woven fabric with a collar, button placket, gathered yoke at the back, and a detachable belt in braided imitation suede. Long sleeves with buttoned cuffs and a tab and button, a chest pocket with a button, concealed pockets in the side seams, and a rounded hem. Slightly longer at the back.",images/079/0796735006.jpg,0.03108866,0.29062673
0616635003,0616635,PQ Cilla sunglasses,81,Sunglasses,Accessories,1010001,All over pattern,23,Dark Yellow,2,Medium Dusty,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames, sidepieces and lenses. The lenses are UV-protective, tinted and polarised. Polarised lenses convey colours more clearly and provide stronger contrasts while preventing glare.",images/061/0616635003.jpg,0.06560142,0.49796290
0838901001,0838901,FILIPPA jersey romper,268,Dungarees,Garment Full body,1010016,Solid,32,Orange,2,Medium Dusty,3,Orange,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,"Baby Exclusive. Romper suit in soft, slub jersey made from organic cotton with buttons down the front and flutter sleeves. Concealed press-studs at the crotch and down the legs (except in sizes 1-4Y), and narrow elastication at the hems.",images/083/0838901001.jpg,0.02365500,0.47836246
0863560003,0863560,Sharkfin bottom,59,Swimwear bottom,Swimwear,1010017,Stripe,61,Light Purple,3,Light,6,Lilac Purple,1645,Divided Swimwear,D,Divided,2,Divided,51,Divided Basics,1018,Swimwear,"Fully lined bikini bottoms with a mid, V-shaped waist and high cut at the back.",images/086/0863560003.jpg,0.01581271,0.50824109
0768997002,0768997,SKI MITTENS BASIC,71,Gloves,Accessories,1010016,Solid,42,Red,5,Bright,18,Red,4212,Kids Boy Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,"Padded ski mittens in windproof, water-repellent fabric with folded seams and reflective details. Reinforced palms, ribbing at the top and a Thinsulate™ lining. The mittens have a water-repellent coating without fluorocarbons.",images/076/0768997002.jpg,0.01270169,0.19731788
0530483002,0530483,Crut bib,268,Dungarees,Garment Full body,1010016,Solid,08,Dark Grey,4,Dark,12,Grey,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"Dungarees in stretch fabric with adjustable straps with press-studs and a chest pocket. Seam at the waist, press-studs at the sides, side pockets and fake back pockets. Concealed press-studs at the crotch and down the legs in sizes 4-12M.",images/053/0530483002.jpg,0.02470416,0.27365085
0519524003,0519524,LETICIA Frill Bikini,299,Swimwear set,Swimwear,1010017,Stripe,72,Blue,3,Light,2,Blue,4320,Young Girl Swimwear,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1018,Swimwear,"Fully lined, patterned bikini with frills. Top with an adjustable tie at the back of the neck and a plastic fastener at the back.",images/051/0519524003.jpg,0.00693575,0.41673466
0875113001,0875113,RATTLE,78,Other accessories,Accessories,1010016,Solid,15,Greyish Beige,4,Dark,1,Mole,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,Baby Exclusive. Padded linen rattle in the shape of a porcini mushroom. Length approx. 11 cm.,images/087/0875113001.jpg,0.02201695,0.12098490
0788327002,0788327,Sandrio knitted jumper,252,Sweater,Garment Upper body,1010010,Melange,70,Other Blue,5,Bright,2,Blue,1648,Knitwear,A,Ladieswear,1,Ladieswear,18,Womens Trend,1003,Knitwear,"Jumper in a soft, chunky knit with 3/4-length puff sleeves and wide ribbing around the neckline, cuffs and hem.",images/078/0788327002.jpg,0.03754729,0.61934608
0912169003,0912169,HLW bucket,78,Other accessories,Accessories,1010008,Front print,60,Other Purple,5,Bright,6,Lilac Purple,4313,Girls Small Acc/Bags,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,Spooky pumpkin-shaped plastic bucket with a handle at the top.,images/091/0912169003.jpg,0.00845763,0.12098490
0651520001,0651520,A-band reversable sequins ears,74,Hair/alice band,Accessories,1010016,Solid,53,Dark Pink,5,Bright,4,Pink,4313,Girls Small Acc/Bags,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,Alice band in satin-covered metal with appliqués on top in the shape of cat ears in fabric with reversible sequins.,images/065/0651520001.jpg,0.00825823,0.31830278
0774210001,0774210,Playfull dance shoe,89,Other shoe,Shoes,1010016,Solid,10,White,3,Light,9,White,4314,Kids Dress-up/Football,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,"Dance shoes with an elastic strap over the foot, motif on the front and appliqués. Cotton linings and insoles and soft suede soles.",images/077/0774210001.jpg,0.01648776,0.32425695
0503679002,0503679,Monaco,258,Blouse,Garment Upper body,1010016,Solid,06,Light Grey,1,Dusty Light,12,Grey,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in woven fabric with a small stand-up collar, opening with buttons at the back of the neck and a lace yoke at the front. Short double-frilled sleeves and a rounded hem. Slightly longer at the back. The polyester content of the blouse is partly recycled.",images/050/0503679002.jpg,0.03727119,0.17723968
0673396014,0673396,Ringo hipbelt,67,Belt,Accessories,1010001,All over pattern,93,Dark Green,4,Dark,19,Green,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Belt in grained imitation leather with a metal buckle. Width approx. 2.2 cm.,images/067/0673396014.jpg,0.01284843,0.66036052
0813104001,0813104,Austin Shirt,259,Shirt,Garment Upper body,1010004,Check,42,Red,7,Medium,18,Red,7657,Kids Boy Shirt,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1011,Shirts,"Shirt in a patterned cotton weave with a collar and press-studs down the front. Flap chest pockets with a press-stud, long sleeves with a tab and button, and a rounded hem. Slightly longer at the back.",images/081/0813104001.jpg,0.02541737,0.35447936
0801430010,0801430,Billy  5-pkt (TVP),272,Trousers,Garment Lower body,1010016,Solid,23,Dark Yellow,4,Dark,11,Beige,7656,Kids Boy Trouser,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1009,Trousers,"Straight trousers in washed cotton twill with a soft brushed finish. Adjustable, elasticated waist, zip fly and button, and front and back pockets.",images/080/0801430010.jpg,0.01627119,0.15266595
0436570026,0436570,Moscow Cross Bag,66,Bag,Accessories,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Small shoulder bag in grained imitation leather with a narrow, detachable shoulder strap, flap with a magnetic fastener, and two inner compartments. Lined. Size 15x20 cm.",images/043/0436570026.jpg,0.02030310,0.67544172
0918149001,0918149,KYLE SHIRT,259,Shirt,Garment Upper body,1010017,Stripe,61,Light Purple,3,Light,6,Lilac Purple,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Straight-cut shirt in soft cotton poplin with a collar and buttons down the front. Gently dropped shoulders, long sleeves with buttoned cuffs, and a rounded hem.",images/091/0918149001.jpg,0.02160628,0.65152297
0835595001,0835595,Bracelet Pack Korn,68,Bracelet,Accessories,1010012,Mixed solid/pattern,09,Black,4,Dark,5,Black,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Elastic bracelets in various designs, one with a small metal pendant in the shape of a feathered wing.",images/083/0835595001.jpg,0.01307581,0.44329268
0581153002,0581153,Maggi espadrille,144,Flat shoe,Shoes,1010017,Stripe,11,Off White,1,Dusty Light,9,White,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Espadrilles with a braided jute trim around the soles. Fabric linings and insoles and thermoplastic rubber (TPR) soles.,images/058/0581153002.jpg,0.01898983,0.30533190
0772945001,0772945,Edward knitted skirt,275,Skirt,Garment Lower body,1010016,Solid,83,Dark Turquoise,4,Dark,7,Turquoise,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Gently flared, knee-length skirt in a fine-knit viscose blend with a ribbed, elasticated waistband. Unlined.",images/077/0772945001.jpg,0.05173047,0.76203160
0576557001,0576557,FLORENCE frill cardigan,245,Cardigan,Garment Upper body,1010016,Solid,72,Blue,1,Dusty Light,2,Blue,6526,Baby Girl Knitwear,G,Baby Sizes 50-98,4,Baby/Children,40,Baby Girl,1003,Knitwear,"Cardigan in a soft, fine-knit viscose blend with frills and buttons down the front.",images/057/0576557001.jpg,0.01354237,0.12098490
0774552008,0774552,PQ GRACE SILK MIX TANK,252,Sweater,Garment Upper body,1010016,Solid,14,Dark Beige,4,Dark,11,Beige,1612,Jersey/Knitwear Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1003,Knitwear,"Vest top in airy, ribbed jersey made from a soft silk and viscose blend with a low-cut neckline at the back.",images/077/0774552008.jpg,0.03962906,0.46942850
0914745003,0914745,NEW LP SPORT,262,Jacket,Garment Upper body,1010016,Solid,83,Dark Turquoise,7,Medium,7,Turquoise,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Sporty, hooded jacket in nylon. High collar, a zip down the front, dropped shoulders and long sleeves with covered elastication and a hook and loop tab at the cuffs. Seams front and back with a decorative D-ring at the front and diagonal, concealed front pockets with a zip. Elasticated drawstring around the hood and hem. Recycled polyester lining.",images/091/0914745003.jpg,0.05701233,0.27365085
0680036001,0680036,Speed Pineapple Earring,70,Earring,Accessories,1010016,Solid,21,Light Yellow,5,Bright,8,Yellow,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Large clip earrings with pineapple-shaped pendants. Clips decorated with sparkly stones and plastic beads. Length 6.5 cm.,images/068/0680036001.jpg,0.02413559,0.31200820
0756356003,0756356,Flora Headband NEW,74,Hair/alice band,Accessories,1010002,Application/3D,07,Grey,1,Dusty Light,12,Grey,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Headband in a soft knit with a knot detail at the front.,images/075/0756356003.jpg,0.01640156,0.29062673
